,abnormal_paper,abnormal_stack,abnormal_tilted,abnormal_upside,normal
abnormal_paper,1.0000000000000002,0.990584460639822,0.9792219095208925,0.9910720285941226,0.9857581125340018
abnormal_stack,0.990584460639822,0.9999999999999991,0.9948064039742726,0.9877135460518504,0.9743126938946772
abnormal_tilted,0.9792219095208925,0.9948064039742726,1.0,0.9722205308793017,0.9535401347172713
abnormal_upside,0.9910720285941226,0.9877135460518504,0.9722205308793017,1.0,0.994482102309022
normal,0.9857581125340018,0.9743126938946772,0.9535401347172713,0.994482102309022,1.0000000000000009
