폴더(실제 상태),파일명,예측된 상태,일치 여부,책별 분석 상세
abnormal_paper,20260522_210700.jpg,abnormal_paper,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(abnormal_upside) | Book 11(normal) | Book 12(abnormal_upside) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(abnormal_upside) | Book 22(normal) | Book 23(normal) | Book 24(abnormal_upside) | Book 25(abnormal_paper) | Book 26(abnormal_upside) | Book 27(normal) | Book 28(normal) | Book 29(abnormal_upside)
abnormal_stack,20260522_205058.jpg,normal,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal)
abnormal_stack,20260522_205117.jpg,abnormal_stack,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(abnormal_stack)
abnormal_stack,20260522_205137.jpg,abnormal_stack,✅ 일치,Book 0(normal) | Book 1(abnormal_upside) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(abnormal_paper) | Book 11(abnormal_stack) | Book 12(abnormal_stack)
abnormal_stack,20260522_205210.jpg,abnormal_stack,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(abnormal_stack) | Book 12(abnormal_stack)
abnormal_stack,20260522_205317.jpg,abnormal_stack,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(abnormal_paper) | Book 13(normal) | Book 14(normal) | Book 15(abnormal_stack)
abnormal_stack,20260522_205455.jpg,abnormal_stack,✅ 일치,Book 0(normal) | Book 1(abnormal_upside) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(abnormal_stack)
abnormal_stack,20260522_205515.jpg,abnormal_stack,✅ 일치,Book 0(abnormal_upside) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(abnormal_upside) | Book 11(normal) | Book 12(normal) | Book 13(abnormal_stack) | Book 14(abnormal_stack)
abnormal_stack,20260522_205538.jpg,abnormal_stack,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(abnormal_upside) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(abnormal_stack) | Book 11(abnormal_stack)
abnormal_stack,20260522_205729.jpg,abnormal_stack,✅ 일치,Book 0(abnormal_upside) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(abnormal_upside) | Book 5(normal) | Book 6(normal) | Book 7(abnormal_paper) | Book 8(normal) | Book 9(normal) | Book 10(abnormal_paper) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(abnormal_upside) | Book 15(normal) | Book 16(abnormal_upside) | Book 17(normal) | Book 18(abnormal_upside) | Book 19(normal) | Book 20(normal) | Book 21(abnormal_upside) | Book 22(normal) | Book 23(normal) | Book 24(abnormal_upside) | Book 25(normal) | Book 26(abnormal_paper) | Book 27(abnormal_upside) | Book 28(abnormal_stack)
abnormal_stack,20260522_205820.jpg,abnormal_paper,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(abnormal_upside) | Book 3(normal) | Book 4(abnormal_upside) | Book 5(normal) | Book 6(abnormal_upside) | Book 7(normal) | Book 8(abnormal_upside) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(abnormal_upside) | Book 21(normal) | Book 22(abnormal_upside) | Book 23(normal) | Book 24(normal) | Book 25(normal) | Book 26(abnormal_upside) | Book 27(abnormal_upside) | Book 28(abnormal_paper) | Book 29(abnormal_upside) | Book 30(normal)
abnormal_stack,20260522_205841.jpg,abnormal_stack,✅ 일치,Book 0(normal) | Book 1(abnormal_upside) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(abnormal_upside) | Book 6(normal) | Book 7(abnormal_upside) | Book 8(abnormal_upside) | Book 9(normal) | Book 10(normal) | Book 11(abnormal_upside) | Book 12(abnormal_upside) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(abnormal_upside) | Book 17(abnormal_upside) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(abnormal_upside) | Book 24(abnormal_upside) | Book 25(abnormal_stack)
abnormal_stack,20260522_205901.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(abnormal_upside) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(normal) | Book 24(normal) | Book 25(normal) | Book 26(normal) | Book 27(normal) | Book 28(normal) | Book 29(normal) | Book 30(normal) | Book 31(normal) | Book 32(abnormal_upside)
abnormal_stack,20260522_205927.jpg,abnormal_stack,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(abnormal_upside) | Book 9(normal) | Book 10(abnormal_upside) | Book 11(abnormal_upside) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(abnormal_upside) | Book 16(normal) | Book 17(normal) | Book 18(abnormal_paper) | Book 19(normal) | Book 20(abnormal_upside) | Book 21(abnormal_upside) | Book 22(abnormal_upside) | Book 23(abnormal_upside) | Book 24(abnormal_upside) | Book 25(normal) | Book 26(abnormal_upside) | Book 27(abnormal_upside) | Book 28(abnormal_upside) | Book 29(abnormal_upside) | Book 30(normal) | Book 31(normal) | Book 32(abnormal_stack) | Book 33(abnormal_stack)
abnormal_stack,20260522_210031.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(abnormal_upside) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(normal) | Book 24(normal) | Book 25(abnormal_upside) | Book 26(abnormal_upside) | Book 27(normal) | Book 28(abnormal_upside)
abnormal_tilted,20260522_210803.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(abnormal_upside) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(abnormal_upside) | Book 14(abnormal_upside)
abnormal_tilted,20260522_210814.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(abnormal_upside) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal)
abnormal_tilted,20260522_210824.jpg,abnormal_upside,❌ 불일치,Book 0(abnormal_upside) | Book 1(abnormal_upside) | Book 2(abnormal_upside) | Book 3(normal) | Book 4(abnormal_upside) | Book 5(normal) | Book 6(normal)
abnormal_tilted,20260522_210840.jpg,abnormal_paper,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(abnormal_upside) | Book 4(normal) | Book 5(abnormal_upside) | Book 6(abnormal_upside) | Book 7(normal) | Book 8(abnormal_paper) | Book 9(abnormal_upside) | Book 10(abnormal_upside) | Book 11(abnormal_paper) | Book 12(abnormal_upside) | Book 13(abnormal_paper) | Book 14(abnormal_paper)
abnormal_tilted,20260522_210901.jpg,abnormal_stack,❌ 불일치,Book 0(abnormal_upside) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(abnormal_upside) | Book 19(abnormal_upside) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(normal) | Book 24(abnormal_upside) | Book 25(normal) | Book 26(normal) | Book 27(normal) | Book 28(normal) | Book 29(abnormal_paper) | Book 30(normal) | Book 31(normal) | Book 32(abnormal_stack)
abnormal_tilted,20260522_210909.jpg,abnormal_upside,❌ 불일치,Book 0(abnormal_upside) | Book 1(abnormal_upside) | Book 2(abnormal_upside) | Book 3(normal) | Book 4(abnormal_upside) | Book 5(abnormal_upside) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(abnormal_upside) | Book 10(normal) | Book 11(abnormal_upside) | Book 12(abnormal_upside) | Book 13(normal) | Book 14(abnormal_upside) | Book 15(normal) | Book 16(abnormal_upside) | Book 17(abnormal_upside) | Book 18(normal) | Book 19(normal) | Book 20(abnormal_upside) | Book 21(abnormal_upside) | Book 22(abnormal_upside) | Book 23(normal) | Book 24(abnormal_upside) | Book 25(abnormal_upside) | Book 26(abnormal_upside)
abnormal_upside,20260522_203708.jpg,normal,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal)
abnormal_upside,20260522_203732.jpg,normal,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal)
abnormal_upside,20260522_203815.jpg,normal,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal)
abnormal_upside,20260522_203952.jpg,abnormal_upside,✅ 일치,Book 0(abnormal_upside) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal)
abnormal_upside,20260522_204046.jpg,abnormal_upside,✅ 일치,Book 0(abnormal_upside) | Book 1(normal) | Book 2(abnormal_upside) | Book 3(normal) | Book 4(normal) | Book 5(abnormal_upside) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal)
abnormal_upside,20260522_204131.jpg,abnormal_upside,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(abnormal_upside) | Book 3(normal) | Book 4(abnormal_upside) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal)
abnormal_upside,20260522_204231.jpg,abnormal_upside,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(normal) | Book 24(normal) | Book 25(normal) | Book 26(normal) | Book 27(normal) | Book 28(normal) | Book 29(normal) | Book 30(abnormal_upside) | Book 31(normal) | Book 32(normal) | Book 33(abnormal_upside)
abnormal_upside,20260522_204315.jpg,abnormal_paper,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(abnormal_upside) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(normal) | Book 24(abnormal_upside) | Book 25(normal) | Book 26(normal) | Book 27(abnormal_paper) | Book 28(normal) | Book 29(normal) | Book 30(normal) | Book 31(abnormal_paper) | Book 32(normal) | Book 33(abnormal_upside)
abnormal_upside,20260522_204416.jpg,abnormal_upside,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(abnormal_upside) | Book 24(normal) | Book 25(normal) | Book 26(abnormal_upside) | Book 27(normal) | Book 28(normal) | Book 29(normal) | Book 30(normal) | Book 31(normal) | Book 32(normal)
normal,20260522_203503.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(abnormal_upside) | Book 6(normal) | Book 7(normal) | Book 8(abnormal_upside) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(abnormal_upside)
normal,20260522_203633.jpg,normal,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(normal) | Book 24(normal) | Book 25(normal) | Book 26(normal) | Book 27(normal)
normal,20260522_204705.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(abnormal_upside) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal)
normal,20260522_210958.jpg,abnormal_paper,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(abnormal_paper) | Book 15(normal) | Book 16(normal) | Book 17(normal)
normal,20260522_211015.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(abnormal_upside) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(abnormal_upside) | Book 15(normal) | Book 16(normal) | Book 17(normal)
---,---,---,---,---
[통계 요약],,,,
abnormal_paper 정확도:,18.2%,(2/11),,
abnormal_stack 정확도:,71.4%,(10/14),,
abnormal_tilted 정확도:,0.0%,(0/6),,
abnormal_upside 정확도:,55.6%,(5/9),,
normal 정확도:,20.0%,(1/5),,
✨ 총 전체 정확도:,40.0%,(18/45),,
