폴더(실제 상태),파일명,예측된 상태,일치 여부,책별 분석 상세
abnormal_paper,20260522_210223.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(abnormal_upside) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(abnormal_upside) | Book 8(normal) | Book 9(normal) | Book 10(abnormal_upside) | Book 11(abnormal_upside) | Book 12(normal)
abnormal_paper,20260522_210248.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(abnormal_upside) | Book 12(abnormal_upside) | Book 13(abnormal_upside) | Book 14(abnormal_upside)
abnormal_paper,20260522_210313.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(abnormal_upside) | Book 11(normal) | Book 12(abnormal_upside) | Book 13(abnormal_upside) | Book 14(abnormal_upside) | Book 15(abnormal_upside) | Book 16(abnormal_upside)
abnormal_paper,20260522_210344.jpg,abnormal_upside,❌ 불일치,Book 0(abnormal_upside) | Book 1(abnormal_upside) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(abnormal_upside) | Book 13(abnormal_upside) | Book 14(abnormal_upside)
abnormal_paper,20260522_210405.jpg,abnormal_upside,❌ 불일치,Book 0(abnormal_upside) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(abnormal_upside) | Book 8(abnormal_upside) | Book 9(abnormal_upside) | Book 10(abnormal_upside)
abnormal_paper,20260522_210436.jpg,abnormal_paper,✅ 일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(abnormal_upside) | Book 9(normal) | Book 10(abnormal_paper) | Book 11(normal) | Book 12(normal) | Book 13(abnormal_upside) | Book 14(abnormal_paper)
abnormal_paper,20260522_210507.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(abnormal_upside) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(abnormal_upside) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(normal) | Book 24(normal) | Book 25(abnormal_upside) | Book 26(abnormal_upside) | Book 27(abnormal_upside) | Book 28(abnormal_upside) | Book 29(normal) | Book 30(abnormal_upside) | Book 31(abnormal_upside) | Book 32(normal)
abnormal_paper,20260522_210532.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(abnormal_upside) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(normal) | Book 23(abnormal_upside) | Book 24(abnormal_upside) | Book 25(abnormal_upside) | Book 26(abnormal_upside) | Book 27(abnormal_upside) | Book 28(normal) | Book 29(normal) | Book 30(normal) | Book 31(abnormal_upside)
abnormal_paper,20260522_210604.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(normal) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(normal) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(abnormal_upside) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(normal) | Book 19(normal) | Book 20(normal) | Book 21(normal) | Book 22(abnormal_upside) | Book 23(normal) | Book 24(abnormal_upside) | Book 25(normal) | Book 26(normal) | Book 27(normal) | Book 28(abnormal_upside)
abnormal_paper,20260522_210632.jpg,abnormal_upside,❌ 불일치,Book 0(normal) | Book 1(abnormal_upside) | Book 2(normal) | Book 3(normal) | Book 4(normal) | Book 5(abnormal_upside) | Book 6(normal) | Book 7(normal) | Book 8(normal) | Book 9(normal) | Book 10(normal) | Book 11(normal) | Book 12(normal) | Book 13(normal) | Book 14(normal) | Book 15(normal) | Book 16(normal) | Book 17(normal) | Book 18(abnormal_upside) | Book 19(abnormal_upside) | Book 20(abnormal_upside) | Book 21(normal) | Book 22(normal) | Book 23(normal) | Book 24(abnormal_upside)
